2025-03-30 18:22:12 - Current Artist MP3 not found: 'Rav Daniel Langr', Source FILENAME: 'G:\Shiurim\R Daniel Langer\Matza baking and gebrukts R Daniel Langer M.mp3'
2025-03-31 01:32:30 - Current Artist MP3 not found: 'Rav Dovid Aron Gross', Source FILENAME: 'G:\Shiurim\R Dovid Aron Gross\rabbi_dovid aron_gross_meshech-chochma-parashat-vayikra M.mp3'
2025-03-31 08:01:47 - Current Artist MP3 not found: 'Rabbi Yisroel Reisman', Source FILENAME: 'G:\Shiurim\From D\R yisroel reisman\R yisroel Reisman\R Reisman Halacha\hilchos-tumas-kohen-shiur-10-yoreh-deah-3737-9-TD1028307.mp3'
2025-03-31 09:54:17 - Current Artist MP3 not found: 'Rav Yakov Moshe Shurkin', Source FILENAME: 'G:\Shiurim\R Yakov Moshe Shurkin\#42 B'inyan Issurei Na U'mevushal B'korban Pesach U'b'dina D'ein Bishul Achar Bishul.MP3'
2025-03-31 13:26:13 - Current Artist MP3 not found: 'Rav Shmuel Fuerst', Source FILENAME: 'G:\Shiurim\R Shmuel Fuerst Shlita\rabbi_shmuel_fuerst_pesach-important-halachot-of-the-afikomen M.mp3'
2025-03-31 14:24:37 - Current Artist MP3 not found: 'Rav aharon fensterheim', Source FILENAME: 'G:\Shiurim\R Shlomo Alon plus Avodas Karbanos\Shiurim Kohanim Leviim and Yisroelim\21 reb aharon fensterheim- shmiras hamikdash M2.mp3'
2025-03-31 18:15:14 - Current Artist MP3 not found: 'Rav Aron Lopiansky', Source FILENAME: 'G:\Shiurim\R Aron Lopiansky\shiur-153-vayikra-5774 M.mp3'
2025-03-31 18:33:14 - Current Artist MP3 not found: 'Rav Yehudah Jacobs', Source FILENAME: 'G:\Shiurim\R Yehudah Jacobs\R'Yehudah (English) Vaadim-5773-5780\R' Yehudah Pesach\R' Yehuda Pesach Vaad On Aseres Hamakos 5776 M.mp3'
2025-03-31 19:20:37 - Current Artist MP3 not found: 'Rav Gershon Ribner Shlita', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\PESACH READY\R gershon ribner pesach M.mp3'
2025-03-31 23:09:45 - Current Artist MP3 not found: 'Rav Dovid Schustal', Source FILENAME: 'G:\Shiurim\R Dovid Schustal Shlita\R' Dovid English Vaadim\R' Dovid English Vaadim 5772\R' Dovid English Vaad Vayak'P  5772 M.mp3'
2025-03-31 23:32:14 - Current Artist MP3 not found: 'R Shushan', Source FILENAME: 'G:\Music\Nigunim and shiurim from C and D\R Shushan\R Shushan Shlita Disk (3)\Odeh LAKEL leivav choker M.mp3'
